ID;Size;Model;y_obs;y_hat;Res
6;0.39;1;0.02;0.280741926;-0.260741926
6;0.3395;1;0.02;0.23033164;-0.21033164
6;0.2955;1;0.02;0.188920217;-0.168920217
6;0.2575;1;0.02;0.155198707;-0.135198707
6;0.2245;1;0.02;0.127580721;-0.107580721
6;0.1955;1;0.02;0.104696827;-0.084696827
6;0.17;1;0.02;0.085736542;-0.065736542
6;0.148;1;0.02;0.070325627;-0.050325627
6;0.129;1;0.02;0.057781123;-0.037781123
6;0.1125;1;0.02;0.047509936;-0.027509936
6;0.098;1;0.02;0.03900095;-0.01900095
6;0.085;1;0.02;0.031817727;-0.011817727
6;0.074;1;0.02;0.026096044;-0.006096044
6;0.0645;1;0.02;0.021439406;-0.001439406
6;0.056;1;0.02;0.017515222;0.002484778
6;0.049;1;0.02;0.014469404;0.005530596
6;0.043;1;0.02;0.012003066;0.007996934
6;0.0375;1;0.02;0.009868594;0.010131406
6;0.0325;1;0.02;0.008041525;0.011958475
6;0.028;1;0.02;0.006497292;0.013502708
6;0.0245;1;0.02;0.005367339;0.014632661
6;0.0215;1;0.02;0.004452397;0.015547603
6;0.0185;1;0.02;0.003590957;0.016409043
6;0.016;1;0.02;0.002917394;0.017082606
6;0.014;1;0.02;0.002410011;0.017589989
6;0.012;1;0.02;0.001932991;0.018067009
6;0.0105;1;0.02;0.001596809;0.018403191
7;257.653;1;100;96.82684948;3.17315052
7;224.4065;1;99.87;96.15992141;3.710078587
7;195.45;1;99.52;95.35953749;4.160462515
7;170.2295;1;98.78;94.40202288;4.377977116
7;148.2635;1;97.53;93.26090275;4.269097253
7;129.132;1;95.63;91.90711721;3.722882791
7;112.4695;1;93.02;90.30967014;2.710329859
7;97.957;1;89.68;88.43657075;1.243429251
7;85.317;1;85.67;86.25648462;-0.586484624
7;74.308;1;81.1;83.74094162;-2.640941619
7;64.7195;1;76.13;80.8670756;-4.737075604
7;56.3685;1;70.92;77.62109014;-6.701090138
7;49.095;1;65.64;74.00142191;-8.361421914
7;42.76;1;60.42;70.02237525;-9.602375247
7;37.2425;1;55.37;65.71652574;-10.34652574
7;32.437;1;50.57;61.13553125;-10.56553125
7;28.2515;1;46.05;56.34892412;-10.29892412
7;24.606;1;41.83;51.44093311;-9.610933114
7;21.431;1;37.91;46.50514939;-8.595149393
7;18.6655;1;34.27;41.63653874;-7.366538736
7;16.257;1;30.89;36.9260715;-6.036071495
7;14.1595;1;27.76;32.4526831;-4.692683099
